"Datum","Feiertag"
"2021-01-01","Neujahr 2021"
"2021-01-06","Heilige Drei Könige 2021"
"2021-04-02","Karfreitag 2021"
"2021-04-04","Ostersonntag 2021"
"2021-04-05","Ostermontag 2021"
"2021-05-01","Tag der Arbeit 2021"
"2021-05-13","Christi Himmelfahrt 2021"
"2021-05-23","Pfingstsonntag 2021"
"2021-05-24","Pfingstmontag 2021"
"2021-06-03","Fronleichnam 2021"
"2021-08-15","Mariä Himmelfahrt 2021"
"2021-09-20","Weltkindertag 2021"
"2021-10-03","Tag der Deutschen Einheit 2021"
"2021-10-31","Reformationstag 2021"
"2021-11-01","Allerheiligen 2021"
"2021-11-17","Buß- und Bettag 2021"
"2021-12-25","1 Weihnachtstag 2021"
"2021-12-26","2 Weihnachtstag 2021"